Property Name,Property Id,Breadcrumbs,Price,Image URL,Description,Seller Name,Location,Property Type,Bathrooms,Bedrooms,Property URL
3bhk fully furnished new flat for rent at landmark world,1731336929,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3bhk fully furnished new flat for rent at landmark world']","{'amount': '35', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/8mo6qw84s5ld1-IN/image;s=850x0,3bhk fully furnished new flat for rent at landmark world,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3bhk-fully-furnished-new-flat-for-rent-at-landmark-world-iid-1731336929
1bhk newly furnished branded flat for rent at landmark world,1690097601,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk newly furnished branded flat for rent at landmark world']","{'amount': '21', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/wvwnabrc73gt3-IN/image;s=850x0,1bhk newly furnished branded flat for rent at landmark world.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/1bhk-newly-furnished-branded-flat-for-rent-at-landmark-world-iid-1690097601
White Villament,1744605966,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', 'White Villament']","{'amount': '13', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/g3202csjxxsu3-IN/image;s=850x0,Clean and well lit apartment with uninterrupted water supply near Karaparamba Higher Secondary School.,BEENA HARIDAS,"Karaparamba, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/white-villament-iid-1744605966
1bhk newly furnished posh interior flat for rent near thondayad bypass,1688082919,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk newly furnished posh interior flat for rent near thondayad bypass']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/2gtwh97bhtok3-IN/image;s=850x0,1bhk newly furnished posh interior flat for rent near thondayad bypass,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,1,https://www.olx.in/item/1bhk-newly-furnished-posh-interior-flat-for-rent-near-thondayad-bypass-iid-1688082919
Luxury studio flat for rent near cyberpark calicut,1690355582,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Luxury studio flat for rent near cyberpark calicut']","{'amount': '18', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/oybt5ufx6sxz1-IN/image;s=850x0,Luxury studio flat for rent near cyberpark calicut.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/luxury-studio-flat-for-rent-near-cyberpark-calicut-iid-1690355582
2bhk ultra luxury branded flat for rent at landmark world,1690017395,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk ultra luxury branded flat for rent at landmark world']","{'amount': '32', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/7yy5s5bnuyt9-IN/image;s=850x0,2bhk ultra luxury branded flat for rent at landmark world.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2bhk-ultra-luxury-branded-flat-for-rent-at-landmark-world-iid-1690017395
2bhk luxury duplex flat for rent at landmark world,1711390957,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk luxury duplex flat for rent at landmark world']","{'amount': '30', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/smv9yo6r8hf2-IN/image;s=850x0,2bhk duplex luxury furnished flat for rent near cyberpark hospital,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,3,2,https://www.olx.in/item/2bhk-luxury-duplex-flat-for-rent-at-landmark-world-iid-1711390957
Luxury studio flat for rent near cyberpark calicut,1696214287,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Luxury studio flat for rent near cyberpark calicut']","{'amount': '17', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/18az6yvtcr5u1-IN/image;s=850x0,Luxury studio flat for rent near cyberpark calicut.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/luxury-studio-flat-for-rent-near-cyberpark-calicut-iid-1696214287
2bhk luxury furnished 2bhk flat for rent near thondayad bypass,1740768766,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk luxury furnished 2bhk flat for rent near thondayad bypass']","{'amount': '35', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/9mn2s2qlssbs-IN/image;s=850x0,2bhk luxury furnished 2bhk flat for rent near thondayad bypass.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2bhk-luxury-furnished-2bhk-flat-for-rent-near-thondayad-bypass-iid-1740768766
2bhk at kotooli,1742794156,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '2bhk at kotooli']","{'amount': '15', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/gv8nnpreqyly1-IN/image;s=850x0,2bhk unfurnished apartment,Rental properties,"Pottammal, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2bhk-at-kotooli-iid-1742794156
New flat for rent,1740367447,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thiruvannur', 'New flat for rent']","{'amount': '13', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sz1w82n16hre1-IN/image;s=850x0,Two flats available 1st and 2nd floor,muralidharan,"Thiruvannur, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/new-flat-for-rent-iid-1740367447
"3 bedroom Flat for RENT in near Christian College, Nadakkavu",1744107623,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', '3 bedroom Flat for RENT in near Christian College, Nadakkavu']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3n7s4dquucpu1-IN/image;s=850x0,"3 bedroom Flat for RENT in near Christian College, Nadakkavu.","S Kumar, Vaishali properties","Nadakkavu, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3-bedroom-flat-for-rent-in-near-christian-college-nadakkavu-iid-1744107623
3bhk fully furnished flat for rent at Calicut,1620524254,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3bhk fully furnished flat for rent at Calicut']","{'amount': '35', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/srjk1hbeyn7k1-IN/image;s=850x0,3bhk fully furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3bhk-fully-furnished-flat-for-rent-at-calicut-iid-1620524254
2BHK apartment for rent,1744596371,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '2BHK apartment for rent']","{'amount': '12', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/vu2771z3r5n03-IN/image;s=850x0,3 km to cyberpark,Sachin,"Pottammal, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2bhk-apartment-for-rent-iid-1744596371
2bhk Semi furnished flat for rent at Palazhi Kozhikode,1675930329,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk Semi furnished flat for rent at Palazhi Kozhikode']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/cybgyulib18d3-IN/image;s=850x0,2bhk Semi furnished flat for rent at Palazhi Kozhikode,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2bhk-semi-furnished-flat-for-rent-at-palazhi-kozhikode-iid-1675930329
Studio fully furnished flat for rent at Calicut,1580640766,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for rent at Calicut']","{'amount': '18', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/9i5rpdduualk3-IN/image;s=850x0,Studio fully furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/studio-fully-furnished-flat-for-rent-at-calicut-iid-1580640766
House for rent in Chevayur,1744589023,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', 'House for rent in Chevayur']","{'amount': '15', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6xkztx85czeu2-IN/image;s=850x0,House for rent at chevayur in a serene environment with lots of trees and calmness with very good water. 500 Meters from Chevayur Junction. Close proximity to schools and hospitals,Rajesh Nair,"Chevayoor, Kozhikode, Kerala",Houses & Villas,3,4+,https://www.olx.in/item/house-for-rent-in-chevayur-iid-1744589023
3bhk spacious flat for executive bachelor's,1743664544,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Civil Station', ""3bhk spacious flat for executive bachelor's""]","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/9n6yltwwo5d52-IN/image;s=850x0,22k for bachelor's. 3 month security deposit,Rental properties,"Calicut Civil Station, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3bhk-spacious-flat-for-executive-bachelors-iid-1743664544
2 bhk flat for rent at HI LITE METROMAX,1740896777,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2 bhk flat for rent at HI LITE METROMAX']","{'amount': '26', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/shlp916eg55d2-IN/image;s=850x0,2 bhk flat for rent at HI LITE METROMAX,Muneer..,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/2-bhk-flat-for-rent-at-hi-lite-metromax-iid-1740896777
Spacious flat for rent in jawahar nagar Nadakavu,1744585164,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', 'Spacious flat for rent in jawahar nagar Nadakavu']","{'amount': '16', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/s6iayrxoghti1-IN/image;s=850x0,Spacious flat for rent in jawahar nagar Nadakavu,Somanath,"Nadakkavu, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/spacious-flat-for-rent-in-jawahar-nagar-nadakavu-iid-1744585164
NearMIMS hospital calivut,1744579681,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kuthiravattom', 'NearMIMS hospital calivut']","{'amount': '28', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ju0i3yjsnz8m-IN/image;s=850x0,"Rent 25,000 plus maintenance",Harilal,"Kuthiravattom, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/nearmims-hospital-calivut-iid-1744579681
6 bedroom independent house for rent in calicut malaparamba,1741392458,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Malaparamba', '6 bedroom independent house for rent in calicut malaparamba']","{'amount': '45', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/5ck5iqpjkimx2-IN/image;s=850x0,6 bedroom independent house for rent in calicut malaparamba near iqrua hospital 6 bedrooms,Calicutproperties,"Malaparamba, Kozhikode, Kerala",Houses & Villas,4+,4+,https://www.olx.in/item/6-bedroom-independent-house-for-rent-in-calicut-malaparamba-iid-1741392458
Room for rent with attached bathroom and kitchen space,1744560380,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Ayyappa Nagar', 'Room for rent with attached bathroom and kitchen space']","{'amount': '6', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/l77t7utu3dtn3-IN/image;s=850x0,"Attached bathroom and kitchen space.Mear to Stare care hospital, KSEB chevayur sub station road",Sudheer Kumar,"Ayyappa Nagar, Kozhikode, Kerala",Builder Floors,1,1,https://www.olx.in/item/room-for-rent-with-attached-bathroom-and-kitchen-space-iid-1744560380
3bhk for rent,1741822070,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Civil Station', '3bhk for rent']","{'amount': '18', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/iwjd1hf9g3of3-IN/image;s=850x0,3 bedrooms 3 bathrooms ,Rental properties,"Calicut Civil Station, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3bhk-for-rent-iid-1741822070
3BHK new HOUSE FOR RENT @ CALICUT,1744544591,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Asma Tower Chowk', '3BHK new HOUSE FOR RENT @ CALICUT']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/mxdil7g4ionl1-IN/image;s=850x0,3bhk new house for rent at calicut.,Clt,"Asma Tower Chowk, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/3bhk-new-house-for-rent-calicut-iid-1744544591
2 bhk Upstairs of a House for RENT in near Eranhipalam,1742282039,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranhipalam', '2 bhk Upstairs of a House for RENT in near Eranhipalam']","{'amount': '13', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ngn4rei0he9j2-IN/image;s=850x0,2 bedroom Upstairs of a house for RENT in near Eranhipalam.,"S Kumar, Vaishali properties","Eranhipalam, Kozhikode, Kerala",Houses & Villas,2,2,https://www.olx.in/item/2-bhk-upstairs-of-a-house-for-rent-in-near-eranhipalam-iid-1742282039
1 BHK FULLY FURNISHED BRANDED FLAT FOR SALE NEAR NADAKAVU,1741809761,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1 BHK FULLY FURNISHED BRANDED FLAT FOR SALE NEAR NADAKAVU']","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/y8kl8977f059-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/1-bhk-fully-furnished-branded-flat-for-sale-near-nadakavu-iid-1741809761
സുന്ദരിയായ വീടുകൾ നോക്കാം,1671140314,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'സുന്ദരിയായ വീടുകൾ നോക്കാം']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/miuq3b0tizqd1-IN/image;s=850x0,നമ്മൾ വാടകയ്ക്ക് ഒരു വീട് നോക്കുമ്പോൾ പ്രധാനമായും അനുഭവിക്കുന്ന പ്രശ്നമാണ് വീടുകൾക്ക് വൃത്തിയില്ലായ്മ ബാത്ത്റൂമുകൾ ക്ക് വൃത്തിയില്ലായ്മ എന്നിവ.  എന്നാൽ അത്തരം പ്രശ്നങ്ങൾ പരിഹരിച്ചു കൊണ്ടുള്ള പുതുപുത്തൻ വീടുകൾ നിങ്ങളുടെ വിരൽത്തുമ്പിൽ ഞങ്ങൾ എത്തിച്ചു നൽകുന്നു,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/-iid-1671140314
പുത്തൻ വാടക വീടുകൾ നോക്കാം,1634690837,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'പുത്തൻ വാടക വീടുകൾ നോക്കാം']","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/dqf3td5in4fq1-IN/image;s=850x0,"പുതുപുത്തൻ വീടുകൾ ഒരുപാട് ആളില്ലാതെ അടഞ്ഞു കിടക്കുന്നു . പലർക്കും അത് വാടകയ്ക്ക് കൊടുക്കുവാനുള്ള മടി ,,അത് നശിപ്പിക്കുമോ എന്ന ഭയം കൊണ്ട് മാത്രമാണ് . എന്നാൽ സ്വന്തം വീട്‌ പോലെ നിങ്ങൾ അത് നോക്കുമെങ്കിൽ അത്തരം വീടുകൾ ഞങ്ങൾ നൽകാം നിങ്ങൾക്ക് . ",Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/-iid-1634690837
3bhk at mankav,1743604652,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', '3bhk at mankav']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/fywa2mw4yb0r-IN/image;s=850x0,"3bedroom attached compound wall and gate well water 2 car parking , very near to main road",Rental properties,"Mankavu, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/3bhk-at-mankav-iid-1743604652
3bhk Luxury Branded fully furnished flat for rent at Thondayad Bypass,1639839990,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3bhk Luxury Branded fully furnished flat for rent at Thondayad Bypass']","{'amount': '36', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/89v970wyf41j3-IN/image;s=850x0,3bhk fully furnished flat for rent at Thondayad Bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/3bhk-luxury-branded-fully-furnished-flat-for-rent-at-thondayad-bypass-iid-1639839990
2bhk fully furnished flat for rent at Thondayad bypass,1624513380,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk fully furnished flat for rent at Thondayad bypass']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qm90nrqdfmts2-IN/image;s=850x0,Near Hilite mall,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,2,https://www.olx.in/item/2bhk-fully-furnished-flat-for-rent-at-thondayad-bypass-iid-1624513380
